CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
53602	P 42/m n m	Ti O2	Rutile#TiO2	Molecular dynamics study of the Ti O2 (rutile) and Ti O2-Zr O2 systems	Acta Crystallographica, Section B: Structural Science (1993) 49,  p. 781-783	2	400.00	1993	-1	
55131	F m -3 m	Rb2 Te	Fluorite#CaF2	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55132	F m -3 m	Rb2 Te	Fluorite#CaF2	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55133	F m -3 m	Rb2 Te	Fluorite#CaF2	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55134	F m -3 m	Rb2 Te	Fluorite#CaF2	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55135	F m -3 m	Rb2 Te	Fluorite#CaF2	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55136	F m -3 m	Rb2 Te	Fluorite#CaF2	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55137	P n m a	Rb2 Te	TiNiSi#MgSrSi	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55138	P n m a	Rb2 Te	TiNiSi#MgSrSi	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55139	P n m a	Rb2 Te	TiNiSi#MgSrSi	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
